"Status","Name","Destination","Key"
"KEEP_REVIEW","CF-MBS-091818","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\_misc_unknown\CF-MBS-091818","01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\_misc_unknown"
"MOVED","CleanEatingArticles","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\ebook_creation\CleanEatingArticles","01_BUILD_PRODUCT\02_Product_Creation\ebook_creation"
"MOVED","Complete_Ideas_Bundle_SlenderMan","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\04_Bonus_Creation\bonus_stack\Complete_Ideas_Bundle_SlenderMan","01_BUILD_PRODUCT\04_Bonus_Creation\bonus_stack"
"MOVED","CopingWithStress","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\CopingWithStress","01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation"
"MOVED","DetoxYourBodyForBetterHealth__MRR","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\DetoxYourBodyForBetterHealth__MRR","01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation"
"MOVED","Digital_Ninja_Marketing_Secrets_SLENDERMAN_BBHF","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\02_JV_MANAGER\04_Promo_Materials\promo_materials\Digital_Ninja_Marketing_Secrets_SLENDERMAN_BBHF","02_JV_MANAGER\04_Promo_Materials\promo_materials"
"MOVED","Digital_Product_Masterclass_FE_FRONTEND","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\03_SALE_PAGE\08_Funnel_Pages\front_end_page\Digital_Product_Masterclass_FE_FRONTEND","03_SALE_PAGE\08_Funnel_Pages\front_end_page"
"KEEP_REVIEW","Driving_Force_Within","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\_misc_unknown\Driving_Force_Within","01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\_misc_unknown"
"MOVED","Entrepedia_2023_Bundle_SLENDERMAN_BBHF","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\04_Bonus_Creation\bonus_stack\Entrepedia_2023_Bundle_SLENDERMAN_BBHF","01_BUILD_PRODUCT\04_Bonus_Creation\bonus_stack"
"MOVED","ExclusiveSoftwareLab_Members_Bonuses_BBHF","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\04_Bonus_Creation\bonus_stack\ExclusiveSoftwareLab_Members_Bonuses_BBHF","01_BUILD_PRODUCT\04_Bonus_Creation\bonus_stack"
"MOVED","Fiverr_100k_Blueprint_Gumroad_SLENDERMAN_BBHF","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\mini_course_creation\Fiverr_100k_Blueprint_Gumroad_SLENDERMAN_BBHF","01_BUILD_PRODUCT\02_Product_Creation\mini_course_creation"
"MOVED","FunnelProfits_PLR","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\03_SALE_PAGE\08_Funnel_Pages\front_end_page\FunnelProfits_PLR","03_SALE_PAGE\08_Funnel_Pages\front_end_page"
"MOVED","Gut_Health_Mastery_FE_OTO1_SM_BBHF","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\03_SALE_PAGE\08_Funnel_Pages\front_end_page\Gut_Health_Mastery_FE_OTO1_SM_BBHF","03_SALE_PAGE\08_Funnel_Pages\front_end_page"
"MOVED","Happiness_Through_Self_Care_FE_And_Gold_Bundle","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\03_SALE_PAGE\08_Funnel_Pages\front_end_page\Happiness_Through_Self_Care_FE_And_Gold_Bundle","03_SALE_PAGE\08_Funnel_Pages\front_end_page"
"MOVED","Health_and_Wellness_21_PLR_Products","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\Health_and_Wellness_21_PLR_Products","01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation"
"MOVED","HowToCreateaKillerLinkedInProfile","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\02_JV_MANAGER\04_Promo_Materials\promo_materials\HowToCreateaKillerLinkedInProfile","02_JV_MANAGER\04_Promo_Materials\promo_materials"
"MOVED","How_To_Boost_Your_Immunity_Against_The_Coronavirus","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\How_To_Boost_Your_Immunity_Against_The_Coronavirus","01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation"
"MOVED","How_To_Craft_The_Life_You_Want_FE_and_Upsell_SlenderMan_BBHF","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\03_SALE_PAGE\08_Funnel_Pages\front_end_page\How_To_Craft_The_Life_You_Want_FE_and_Upsell_SlenderMan_BBHF","03_SALE_PAGE\08_Funnel_Pages\front_end_page"
"MOVED","How_to_Make_6_Figures_Selling_SaaS_at_Home","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\How_to_Make_6_Figures_Selling_SaaS_at_Home","01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation"
"MOVED","Irresistible_Copy_32_Pages_Gumroad_SLENDERMAN_BBHF","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\03_SALE_PAGE\08_Funnel_Pages\front_end_page\Irresistible_Copy_32_Pages_Gumroad_SLENDERMAN_BBHF","03_SALE_PAGE\08_Funnel_Pages\front_end_page"
"KEEP_REVIEW","ItsYourYear","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\_misc_unknown\ItsYourYear","01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\_misc_unknown"
"MOVED","KidToons_FE_SM_BBHF","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\03_SALE_PAGE\08_Funnel_Pages\front_end_page\KidToons_FE_SM_BBHF","03_SALE_PAGE\08_Funnel_Pages\front_end_page"
"MOVED","Kyle_Balmer_AI_Business_Playbook_Vault_SLENDERMAN_BBHF","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\mini_course_creation\Kyle_Balmer_AI_Business_Playbook_Vault_SLENDERMAN_BBHF","01_BUILD_PRODUCT\02_Product_Creation\mini_course_creation"
"MOVED","Matt_Serviuos_AI_Profit_Slender","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\Matt_Serviuos_AI_Profit_Slender","01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation"
"MOVED","MillionaireMindsetTheFinancialIQEmpowermentSeries_PLR","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\MillionaireMindsetTheFinancialIQEmpowermentSeries_PLR","01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation"
"MOVED","Mystic_Journals_Planners_Bundle_SM_BBHF","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\template_creation\Mystic_Journals_Planners_Bundle_SM_BBHF","01_BUILD_PRODUCT\02_Product_Creation\template_creation"
"MOVED","Mystic_Planners_MRR_Collection_Bundle_BBHF","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\template_creation\Mystic_Planners_MRR_Collection_Bundle_BBHF","01_BUILD_PRODUCT\02_Product_Creation\template_creation"
"MOVED","New_Year_2025_Success_Mega_Pack_PLR_SLENDERMAN_BBHF","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\04_Bonus_Creation\bonus_stack\New_Year_2025_Success_Mega_Pack_PLR_SLENDERMAN_BBHF","01_BUILD_PRODUCT\04_Bonus_Creation\bonus_stack"
"MOVED","Notion_For_Agencies_and_AgencyHQ_SLENDERMAN_BBHF","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\template_creation\Notion_For_Agencies_and_AgencyHQ_SLENDERMAN_BBHF","01_BUILD_PRODUCT\02_Product_Creation\template_creation"
"MOVED","Notion_Second_Brain_SLENDER","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\template_creation\Notion_Second_Brain_SLENDER","01_BUILD_PRODUCT\02_Product_Creation\template_creation"
"MOVED","Notion_Startup_OS_Slender","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\template_creation\Notion_Startup_OS_Slender","01_BUILD_PRODUCT\02_Product_Creation\template_creation"
"MOVED","ODPLR_PrincessLineArtsMRR","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\template_creation\ODPLR_PrincessLineArtsMRR","01_BUILD_PRODUCT\02_Product_Creation\template_creation"
"MOVED","Opulentos_Black_Hat_Bible_Gumroad_SLENDERMAN_BBHF","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\Opulentos_Black_Hat_Bible_Gumroad_SLENDERMAN_BBHF","01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation"
"MOVED","PhotographyTipsAndTricks__PLR","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\03_SALE_PAGE\08_Funnel_Pages\front_end_page\PhotographyTipsAndTricks__PLR","03_SALE_PAGE\08_Funnel_Pages\front_end_page"
"MOVED","PLRArticleBuilderSoftware_MRR","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\ebook_creation\PLRArticleBuilderSoftware_MRR","01_BUILD_PRODUCT\02_Product_Creation\ebook_creation"
"MOVED","PLR_Affiliate_Maestro_FrontEnd_SLENDERMAN_BBHF","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\02_JV_MANAGER\04_Promo_Materials\promo_materials\PLR_Affiliate_Maestro_FrontEnd_SLENDERMAN_BBHF","02_JV_MANAGER\04_Promo_Materials\promo_materials"
"MOVED","PLR_SalesFunnels_The_Chakra_Code_FE_OTO1_SM_BBHF","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\03_SALE_PAGE\08_Funnel_Pages\front_end_page\PLR_SalesFunnels_The_Chakra_Code_FE_OTO1_SM_BBHF","03_SALE_PAGE\08_Funnel_Pages\front_end_page"
"MOVED","Plumber_Leadflow_FE_SLENDERMAN_BBHF","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\03_SALE_PAGE\08_Funnel_Pages\front_end_page\Plumber_Leadflow_FE_SLENDERMAN_BBHF","03_SALE_PAGE\08_Funnel_Pages\front_end_page"
"MOVED","PowerOfSelfDiscipline","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\PowerOfSelfDiscipline","01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation"
"MOVED","Programmatic_SEO_Tools_2024","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\02_JV_MANAGER\04_Promo_Materials\promo_materials\Programmatic_SEO_Tools_2024","02_JV_MANAGER\04_Promo_Materials\promo_materials"
"MOVED","SaaS_and_Ecommerce_Growth_Hacks_Bundle_SM_BBHF","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\02_JV_MANAGER\04_Promo_Materials\promo_materials\SaaS_and_Ecommerce_Growth_Hacks_Bundle_SM_BBHF","02_JV_MANAGER\04_Promo_Materials\promo_materials"
"MOVED","SaaS_Email_Marketing_Handbook_Complete_Package_Slender","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\02_JV_MANAGER\04_Promo_Materials\promo_materials\SaaS_Email_Marketing_Handbook_Complete_Package_Slender","02_JV_MANAGER\04_Promo_Materials\promo_materials"
"MOVED","SaaS_Email_Marketing_Masterclass_Gumroad_SLENDERMAN_BBHF","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\02_JV_MANAGER\04_Promo_Materials\promo_materials\SaaS_Email_Marketing_Masterclass_Gumroad_SLENDERMAN_BBHF","02_JV_MANAGER\04_Promo_Materials\promo_materials"
"MOVED","Saas_Growth_Kit_2024","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\Saas_Growth_Kit_2024","01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation"
"MOVED","SaaS_Growth_Tactics_Alex_Estner","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\02_JV_MANAGER\04_Promo_Materials\promo_materials\SaaS_Growth_Tactics_Alex_Estner","02_JV_MANAGER\04_Promo_Materials\promo_materials"
"MOVED","SearchEngineDetector_MRR","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\02_JV_MANAGER\04_Promo_Materials\promo_materials\SearchEngineDetector_MRR","02_JV_MANAGER\04_Promo_Materials\promo_materials"
"MOVED","Secret_Cash_Course_SLENDERMAN_BBHF","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\mini_course_creation\Secret_Cash_Course_SLENDERMAN_BBHF","01_BUILD_PRODUCT\02_Product_Creation\mini_course_creation"
"MOVED","SocialMediaMassacre_PLR","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\02_JV_MANAGER\04_Promo_Materials\promo_materials\SocialMediaMassacre_PLR","02_JV_MANAGER\04_Promo_Materials\promo_materials"
"MOVED","SoftwareProfitMastery01_PLR","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\SoftwareProfitMastery01_PLR","01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation"
"MOVED","TheArtOfMeditation","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\TheArtOfMeditation","01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation"
"MOVED","TheGrowthMindset","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\TheGrowthMindset","01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation"
"MOVED","ThePowerOfFocus_mrrg","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\ThePowerOfFocus_mrrg","01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation"
"MOVED","The_Action_First_Vision_Board_FE_SLENDERMAN_BBHF","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\03_SALE_PAGE\08_Funnel_Pages\front_end_page\The_Action_First_Vision_Board_FE_SLENDERMAN_BBHF","03_SALE_PAGE\08_Funnel_Pages\front_end_page"
"MOVED","The_AI_Cinematographers_Midjourney_Playbook_Guide_SLENDERMAN_BBHF","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\mini_course_creation\The_AI_Cinematographers_Midjourney_Playbook_Guide_SLENDERMAN_BBHF","01_BUILD_PRODUCT\02_Product_Creation\mini_course_creation"
"MOVED","THE_AI_ULTIMATE_COLLECTION_Slender","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\04_Bonus_Creation\bonus_stack\THE_AI_ULTIMATE_COLLECTION_Slender","01_BUILD_PRODUCT\04_Bonus_Creation\bonus_stack"
"MOVED","The_Ultimate_SAAS_Course_SLENDERMAN_BBHF","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\mini_course_creation\The_Ultimate_SAAS_Course_SLENDERMAN_BBHF","01_BUILD_PRODUCT\02_Product_Creation\mini_course_creation"
"KEEP_REVIEW","UGC-Unleashed","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\_misc_unknown\UGC-Unleashed","01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\_misc_unknown"
"MOVED","Upstrider_HOT_Digital_Products_Library_PLR_Bundle_SLENDERMAN_BBHF","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\04_Bonus_Creation\bonus_stack\Upstrider_HOT_Digital_Products_Library_PLR_Bundle_SLENDERMAN_BBHF","01_BUILD_PRODUCT\04_Bonus_Creation\bonus_stack"
"MOVED","What_To_Ship_Idea_List_SLENDERMAN_BBHF","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\01_Product_Research\market_research\What_To_Ship_Idea_List_SLENDERMAN_BBHF","01_BUILD_PRODUCT\01_Product_Research\market_research"
"MOVED","WPInboxMonsterPLR","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\02_JV_MANAGER\04_Promo_Materials\promo_materials\WPInboxMonsterPLR","02_JV_MANAGER\04_Promo_Materials\promo_materials"
"MOVED","Zero_to_Founder_2024","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\Zero_to_Founder_2024","01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation"
"MOVED","Zero_to_MVP_with_Nocode","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\Zero_to_MVP_with_Nocode","01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation"
"KEEP_REVIEW","AM5Dn6pC9yAgM1vgh1_Vg7o","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\_misc_unknown\AM5Dn6pC9yAgM1vgh1_Vg7o","01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\_misc_unknown"
"KEEP_REVIEW","Document-4.docx","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\_misc_unknown\Document-4.docx","01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\_misc_unknown"
"KEEP_REVIEW","open","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\_misc_unknown\open","01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\_misc_unknown"
"KEEP_REVIEW","view","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\_misc_unknown\view","01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\_misc_unknown"
